,condition,milage,Year,Brand,Model,Model_Vers,S_RS,Cabriolet,Color,Transmission,6,7
22,Used,11710,2014,Porsche,911,Carrera,4S,,Black,Automatic,,
23,Porsche Certified,45668,2014,Porsche,911,Carrera,4S,,Black,Automatic,,
24,Porsche Certified,14826,2014,Porsche,911,Carrera,,,Black,Automatic,,
25,Used,24300,2014,Porsche,911,Carrera,4,,Black,Automatic,,
26,Used,16340,2017,Porsche,911,Carrera,4S,,Black,Automatic,,
27,Used,77524,2008,Porsche,911,Carrera,4S,,Black,Automatic,,
28,Used,9579,2018,Porsche,911,Turbo,,,Black,Automatic,,
29,Used,54000,2015,Porsche,911,Targa,4S,,Black,Automatic,,
30,Used,6793,2018,Porsche,911,Carrera,GTS,,Black,Automatic,,
31,Porsche Certified,22416,2017,Porsche,911,Carrera,S,,Black,Automatic,,
32,Used,21181,2018,Porsche,911,GT3,,,Black,Automatic,,
33,Porsche Certified,11862,2016,Porsche,911,Carrera,GTS,,Black,Automatic,,
34,Used,28906,2014,Porsche,911,Carrera,,,Black,Automatic,,
35,Used,13542,2017,Porsche,911,Carrera,4S,,Black,Automatic,,
36,Used,1512,2019,Porsche,911,Turbo,S,,Black,Automatic,,
37,Used,11803,2012,Porsche,911,Carrera,GTS,,Black,Automatic,,
38,Porsche Certified,25690,2014,Porsche,911,Carrera,4S,,Black,Automatic,,
39,Used,22481,2012,Porsche,911,Turbo,S,,Black,Automatic,,
40,Used,19800,2007,Porsche,911,Turbo,,,Black,Automatic,,
0,Used,47649,2012,Porsche,911,Carrera,Black,Edition,Black,Automatic,,
1,Used,19020,2015,Porsche,911,Carrera,,,Black,Automatic,,
2,Used,15305,2016,Porsche,911,Turbo,,,Black,Automatic,,
3,Used,56436,2012,Porsche,911,Carrera,S,,Black,Automatic,,
4,Used,85000,2009,Porsche,911,Carrera,S,Cabriolet,Black,Automatic,,
5,Used,15808,2018,Porsche,911,Carrera,S,,Black,Automatic,,
6,Used,48750,2009,Porsche,911,Carrera,S,,Black,Automatic,,
7,Used,37856,2009,Porsche,911,Turbo,Cabriolet,,Black,Automatic,,
8,Used,37541,2015,Porsche,911,Turbo,,,Black,Automatic,,
9,Used,25648,2011,Porsche,911,Turbo,,,Black,Automatic,,
10,Used,20039,2013,Porsche,911,Carrera,S,,Black,Automatic,,
11,Used,29405,2012,Porsche,911,Carrera,4,,Black,Automatic,,
12,Used,54905,2012,Porsche,911,Carrera,S,,Black,Automatic,,
13,Used,35475,2013,Porsche,911,Carrera,S,,Black,Automatic,,
14,Used,40208,2016,Porsche,911,Carrera,,,Black,Automatic,,
15,Used,83931,2011,Porsche,911,Turbo,S,,Black,Automatic,,
16,Porsche Certified,47438,2017,Porsche,911,Carrera,,,Black,Automatic,,
17,Porsche Certified,9528,2014,Porsche,911,Turbo,S,,Black,Automatic,,
18,Used,65807,2012,Porsche,911,Turbo,S,,Black,Automatic,,
19,Porsche Certified,18823,2014,Porsche,911,Carrera,S,,Black,Automatic,,
20,Porsche Certified,32133,2016,Porsche,911,Carrera,4,,Black,Automatic,,
21,Porsche Certified,11772,2015,Porsche,911,Turbo,,,Black,Automatic,,
22,Used,24839,2008,Porsche,911,Turbo,Cabriolet,,Black,Automatic,,
23,Used,46369,2009,Porsche,911,Carrera,S,,Black,Automatic,,
24,Used,16004,2018,Porsche,911,Carrera,4S,,Black,Automatic,,
25,Used,32845,2013,Porsche,911,Carrera,,,Black,Automatic,,
26,Used,15442,2008,Porsche,911,Targa,4S,,Black,Automatic,,
27,Used,2546,2018,Porsche,911,GT2,RS,,Black,Automatic,,
28,Used,9223,2011,Porsche,911,Turbo,,,Black,Automatic,,
29,Used,9574,2018,Porsche,911,Carrera,4,GTS,Black,Automatic,,
30,Used,27748,2009,Porsche,911,Carrera,Cabriolet,,Black,Automatic,,
31,Used,8,2019,Porsche,911,Carrera,4S,,Black,Automatic,,
32,Used,28592,2012,Porsche,911,Carrera,Black,Edition,Black,Automatic,,
33,Used,39508,2014,Porsche,911,Carrera,,,Black,Automatic,,
34,Used,56154,2007,Porsche,911,Carrera,S,,Black,Automatic,,
35,Used,24640,2015,Porsche,911,Carrera,,,Black,Automatic,,
36,Used,46699,2013,Porsche,911,Carrera,S,,Black,Automatic,,
37,Used,51392,2010,Porsche,911,Carrera,4,Cabriolet,Black,Automatic,,
38,Used,38463,2014,Porsche,911,Carrera,S,,Black,Automatic,,
39,Used,19727,2014,Porsche,911,Carrera,S,,Black,Automatic,,
40,Used,40750,2012,Porsche,911,Carrera,S,,Black,Automatic,,
41,Used,74005,2008,Porsche,911,Carrera,4,,Black,Automatic,,
42,Used,90492,2008,Porsche,911,Turbo,Cabriolet,,Black,Automatic,,
43,Used,46788,2014,Porsche,911,Carrera,,,Black,Automatic,,
44,Used,38396,2013,Porsche,911,Carrera,,,Black,Automatic,,
0,Used,13085,2010,Porsche,911,Turbo,,,Black,Automatic,,
1,Used,2166,2019,Porsche,911,Turbo,S,,Black,Automatic,,
2,Used,28013,2012,Porsche,911,Turbo,S,,Black,Automatic,,
3,Used,37541,2015,Porsche,911,Turbo,,,Black,Automatic,,
4,Used,54993,2016,Porsche,911,Carrera,4,,Black,Automatic,,
5,Used,56436,2012,Porsche,911,Carrera,S,,Black,Automatic,,
6,Used,7299,2018,Porsche,911,Carrera,S,,Black,Automatic,,
7,Used,93033,2008,Porsche,911,Carrera,S,Cabriolet,Black,Automatic,,
8,Used,50695,2008,Porsche,911,Carrera,S,Cabriolet,Black,Automatic,,
9,Used,26287,2017,Porsche,911,Targa,4S,,Black,Automatic,,
10,Used,24431,2016,Porsche,911,Carrera,,,Black,Automatic,,
11,Used,15157,2015,Porsche,911,Carrera,S,,Black,Automatic,,
12,Used,36422,2016,Porsche,911,Carrera,,,Black,Automatic,,
13,Used,12693,2016,Porsche,911,Carrera,S,,Black,Automatic,,
14,Used,34281,2017,Porsche,911,Carrera,S,,Black,Automatic,,
15,Used,40291,2010,Porsche,911,Carrera,,,Black,Automatic,,
16,Porsche Certified,51312,2013,Porsche,911,Carrera,,,Black,Automatic,,
17,Used,119,2019,Porsche,911,Turbo,S,,Black,Automatic,,
18,Used,4807,2014,Porsche,911,Carrera,,,Black,Automatic,,
19,Used,33302,2010,Porsche,911,Carrera,S,,Black,Automatic,,
20,Used,32477,2019,Porsche,911,Carrera,GTS,,Black,Automatic,,
21,Used,8508,2017,Porsche,911,Carrera,S,,Black,Automatic,,
22,Used,22323,2018,Porsche,911,Carrera,,,Black,Automatic,,
23,Used,23556,2013,Porsche,911,Carrera,4S,,Black,Automatic,,
24,Used,17130,2016,Porsche,911,Carrera,S,,Black,Automatic,,
25,Used,1255,2019,Porsche,911,Carrera,4,GTS,Black,Automatic,,
26,Used,20187,2016,Porsche,911,Carrera,GTS,,Black,Automatic,,
27,Used,6118,2014,Porsche,911,Carrera,S,,Black,Automatic,,
28,Used,114910,2012,Porsche,911,Turbo,S,,Black,Automatic,,
29,Used,53500,2013,Porsche,911,Carrera,4,,Black,Automatic,,
30,Used,9482,2016,Porsche,911,Carrera,,,Black,Automatic,,
31,Used,20412,2012,Porsche,911,Carrera,S,,Black,Automatic,,
32,Used,13522,2012,Porsche,911,Carrera,S,,Black,Automatic,,
33,Porsche Certified,11130,2011,Porsche,911,Turbo,S,,Black,Automatic,,
34,Porsche Certified,21174,2012,Porsche,911,Carrera,4,GTS,Black,Automatic,,
35,Used,35106,2009,Porsche,911,Turbo,,,Black,Automatic,,
36,Porsche Certified,17489,2015,Porsche,911,Targa,4S,,Black,Automatic,,
37,Used,36000,2017,Porsche,911,Carrera,4S,,Black,Automatic,,
38,Porsche Certified,11667,2016,Porsche,911,Targa,4S,,Black,Automatic,,
39,Used,15050,2018,Porsche,911,Carrera,,,Black,Automatic,,
40,Used,17000,2016,Porsche,911,Carrera,GTS,,Black,Automatic,,
41,Used,72047,2012,Porsche,911,Carrera,S,,Black,Automatic,,
42,Used,34445,2012,Porsche,911,991,Carrera,S,Black,Automatic,,
43,Used,18988,2007,Porsche,911,Turbo,,,Black,Automatic,,
44,Used,31501,2012,Porsche,911,Carrera,4,GTS,Black,Automatic,,
45,Porsche Certified,15235,2017,Porsche,911,Carrera,S,,Black,Automatic,,
46,Porsche Certified,2836,2019,Porsche,911,Carrera,S,,Black,Automatic,,
47,Used,9421,2017,Porsche,911,Carrera,,,Black,Automatic,,
48,Used,6321,2019,Porsche,911,Carrera,,,Black,Automatic,,
49,Porsche Certified,22011,2017,Porsche,911,Carrera,,,Black,Automatic,,
50,Porsche Certified,1332,2018,Porsche,911,Carrera,,,Black,Automatic,,
51,Used,33853,2017,Porsche,911,Carrera,4S,,Black,Automatic,,
52,Used,73301,2008,Porsche,911,Turbo,Cabriolet,,Black,Automatic,,
53,Used,29253,2007,Porsche,911,Turbo,,,Black,Automatic,,
54,Used,18485,2016,Porsche,911,Carrera,,,Black,Automatic,,
55,Used,31017,2015,Porsche,911,Carrera,4S,,Black,Automatic,,
56,Used,86000,2007,Porsche,911,Carrera,S,Cabriolet,Black,Automatic,,
57,Used,17312,2015,Porsche,911,Turbo,S,,Black,Automatic,,
58,Used,35743,2013,Porsche,911,Carrera,4S,,Black,Automatic,,
59,Used,7291,2018,Porsche,911,Carrera,GTS,,Black,Automatic,,
0,Used,1195,2019,Porsche,911,GT2,RS,,Black,Automatic,,
1,Used,2645,2018,Porsche,911,GT2,RS,,Black,Automatic,,
2,Porsche Certified,42,2018,Porsche,911,GT2,RS,,Black,Automatic,,
3,Used,950,2019,Porsche,911,GT2,RS,,Black,Automatic,,
4,Used,104,2018,Porsche,911,GT2,RS,,Black,Automatic,,
5,Used,16,2018,Porsche,911,GT2,RS,,Black,Automatic,,
6,Porsche Certified,1522,2018,Porsche,911,GT2,RS,,Black,Automatic,,
7,Used,1635,2018,Porsche,911,GT2,RS,,Black,Automatic,,
8,Used,305,2018,Porsche,911,GT2,RS,,Black,Automatic,,
9,Porsche Certified,2667,2018,Porsche,911,GT2,RS,,Black,Automatic,,
10,Used,417,2018,Porsche,911,GT2,RS,,Black,Automatic,,
11,Used,60,2018,Porsche,911,GT2,RS,,Black,Automatic,,
12,Used,177,2019,Porsche,911,GT2,RS,,Black,Automatic,,
13,Used,286,2018,Porsche,911,GT2,RS,,Black,Automatic,,
14,Used,564,2018,Porsche,911,GT2,RS,,Black,Automatic,,
15,Porsche Certified,676,2018,Porsche,911,GT2,RS,,Black,Automatic,,
16,Used,635,2018,Porsche,911,GT2,RS,,Black,Automatic,,
17,Porsche Certified,6030,2018,Porsche,911,GT2,RS,,Black,Automatic,,
18,Used,28,2018,Porsche,911,GT2,RS,,Black,Automatic,,
19,Used,7376,2018,Porsche,911,GT2,RS,,Black,Automatic,,
20,Used,1278,2018,Porsche,911,GT2,RS,,Black,Automatic,,
21,Used,499,2019,Porsche,911,GT2,RS,,Black,Automatic,,
22,Used,680,2018,Porsche,911,GT2,RS,,Black,Automatic,,
23,Porsche Certified,1770,2018,Porsche,911,GT2,RS,,Black,Automatic,,
24,Used,1348,2018,Porsche,911,GT2,RS,,Black,Automatic,,
25,Porsche Certified,763,2018,Porsche,911,GT2,RS,,Black,Automatic,,
26,Used,2546,2018,Porsche,911,GT2,RS,,Black,Automatic,,
27,Used,806,2018,Porsche,911,GT2,RS,,Black,Automatic,,
28,Used,1513,2018,Porsche,911,GT2,RS,,Black,Automatic,,
29,Porsche Certified,1715,2018,Porsche,911,GT2,RS,,Black,Automatic,,
30,Used,630,2018,Porsche,911,GT2,RS,,Black,Automatic,,
31,Porsche Certified,1874,2018,Porsche,911,GT2,RS,,Black,Automatic,,
32,Used,775,2018,Porsche,911,GT2,RS,,Black,Automatic,,
33,Used,341,2018,Porsche,911,Turbo,S,,Black,Automatic,,
34,Used,1115,2018,Porsche,911,GT2,RS,,Black,Automatic,,
35,Used,1136,2019,Porsche,911,GT2,RS,,Black,Automatic,,
36,Used,3734,2018,Porsche,911,GT2,RS,,Black,Automatic,,
37,Used,164,2018,Porsche,911,GT2,RS,,Black,Automatic,,
38,Used,1365,2018,Porsche,911,GT2,RS,,Black,Automatic,,
39,Used,1250,2018,Porsche,911,GT2,RS,,Black,Automatic,,
40,Porsche Certified,4881,2018,Porsche,911,GT2,RS,,Black,Automatic,,
41,Used,3393,2018,Porsche,911,GT2,RS,,Black,Automatic,,
42,Used,785,2018,Porsche,911,GT2,RS,,Black,Automatic,,
43,Used,1225,2018,Porsche,911,GT2,RS,,Black,Automatic,,
44,Used,925,2018,Porsche,911,GT2,RS,,Black,Automatic,,
45,Used,200,2018,Porsche,911,Turbo,S,,Black,Automatic,,
46,Used,860,2018,Porsche,911,Turbo,S,,Black,Automatic,,
47,Used,649,2019,Porsche,911,Turbo,S,,Black,Automatic,,
48,Used,561,2018,Porsche,911,Turbo,S,,Black,Automatic,,
49,Used,267,2019,Porsche,911,Turbo,S,,Black,Automatic,,
50,Used,619,2019,Porsche,911,Turbo,S,,Black,Automatic,,
51,Porsche Certified,989,2018,Porsche,911,GT2,RS,,Black,Automatic,,
52,Used,4255,2018,Porsche,911,GT2,RS,,Black,Automatic,,
53,Used,11905,2018,Porsche,911,GT2,RS,,Black,Automatic,,
54,Used,209,2019,Porsche,911,Turbo,S,,Black,Automatic,,
55,Used,194,2018,Porsche,911,Turbo,S,,Black,Automatic,,
56,Porsche Certified,4997,2011,Porsche,911,,,,Black,Automatic,,
57,Used,72,2019,Porsche,911,Turbo,S,,Black,Automatic,,
58,Used,29,2018,Porsche,911,Turbo,S,,Black,Automatic,,
59,Used,4154,2018,Porsche,911,Turbo,S,,Black,Automatic,,
60,Used,75,2018,Porsche,911,Turbo,S,,Black,Automatic,,
61,Used,539,2019,Porsche,911,GT3,RS,,Black,Automatic,,
62,Used,41,2019,Porsche,911,GT3,RS,,Black,Automatic,,
63,Used,1512,2019,Porsche,911,Turbo,S,,Black,Automatic,,
64,Porsche Certified,163,2019,Porsche,911,GT3,RS,,Black,Automatic,,
65,Porsche Certified,2242,2019,Porsche,911,GT3,,,Black,Automatic,,
66,Used,61,2019,Porsche,911,GT3,RS,,Black,Automatic,,
67,Used,41,2019,Porsche,911,GT3,RS,,Black,Automatic,,
68,Used,1730,2019,Porsche,911,GT3,RS,,Black,Automatic,,
69,Used,1829,2019,Porsche,911,GT3,RS,,Black,Automatic,,
70,Used,650,2019,Porsche,911,GT3,RS,,Black,Automatic,,
71,Used,11,2019,Porsche,911,GT3,RS,,Black,Automatic,,
72,Used,743,2019,Porsche,911,GT3,RS,,Black,Automatic,,
73,Porsche Certified,1594,2019,Porsche,911,Turbo,S,,Black,Automatic,,
74,Used,100,2019,Porsche,911,GT3,RS,,Black,Automatic,,
75,Used,1071,2019,Porsche,911,GT3,RS,,Black,Automatic,,
76,Used,274,2019,Porsche,911,GT3,RS,,Black,Automatic,,
77,Used,620,2019,Porsche,911,GT3,RS,,Black,Automatic,,
78,Porsche Certified,536,2019,Porsche,911,GT3,RS,,Black,Automatic,,
79,Used,186,2019,Porsche,911,GT3,RS,,Black,Automatic,,
80,Used,1426,2019,Porsche,911,GT3,RS,,Black,Automatic,,
81,Used,2723,2019,Porsche,911,GT3,RS,,Black,Automatic,,
82,Used,1336,2019,Porsche,911,GT3,RS,,Black,Automatic,,
83,Used,42,2019,Porsche,911,GT3,RS,,Black,Automatic,,
84,Porsche Certified,4964,2019,Porsche,911,GT3,RS,,Black,Automatic,,
85,Porsche Certified,1250,2019,Porsche,911,GT3,RS,,Black,Automatic,,
86,Used,103,2019,Porsche,911,GT3,RS,,Black,Automatic,,
87,Used,3187,2019,Porsche,911,GT3,RS,,Black,Automatic,,
88,Porsche Certified,459,2019,Porsche,911,GT3,RS,,Black,Automatic,,
89,Used,650,2019,Porsche,911,GT3,RS,,Black,Automatic,,
90,Used,1817,2019,Porsche,911,GT3,RS,,Black,Automatic,,
91,Porsche Certified,3319,2019,Porsche,911,Turbo,S,,Black,Automatic,,
92,Used,328,2019,Porsche,911,GT3,RS,,Black,Automatic,,
93,Used,46,2019,Porsche,911,GT3,RS,,Black,Automatic,,
94,Used,3859,2019,Porsche,911,GT3,RS,,Black,Automatic,,
95,Used,1515,2019,Porsche,911,GT3,RS,,Black,Automatic,,
96,Used,4088,2019,Porsche,911,GT3,RS,,Black,Automatic,,
97,Used,508,2019,Porsche,911,GT3,RS,,Black,Automatic,,
98,Porsche Certified,7076,2019,Porsche,911,GT3,RS,,Black,Automatic,,
99,Used,3351,2019,Porsche,911,Turbo,S,,Black,Automatic,,
